Acc No,ISBN,Title,Author,System Status
,572446,Comparative Political Sytem Questions and Answar,M Asif Malik,Available
,9789695380147,Elements of Civics Part 1 Princples of Civics,Mazhar Ul Haq,Available
,9695380158,Civics of Pakistan,Mazhar Ul Haq,Available
,480031,M.A Political Science Guide Defence and Strategic Studies,M Asif Malik,Available
,480123,Public Administration Questions and Answar M A Political Science Guide,M Asif Malik,Available
,9789695735411,"To the Point Political Paper I and II for CSS PMS, PCS",Zahid Hussain Anjum,Available
,515788,Constitutional Development in Pakistan,G W Choudhury,Available
,297578,Local Self Government in Pakistan,Muhammad Asif Malik,Available
,593991,An Introduction to Political Science for CSS PCS,Prof Pervez Ahmed,Available
,457811,Introduction to Political Science,Prof Dr Muhammad Sarwar,Available
,9789695380000,Political Science Theory and Practice,Mazhar Ul Haq,Available
,9789694025575,The Future of Pakistan,Stephen P Cohn and others,Available
,9789694025667,Thistle and Drone Americas War on Terror or War on Trible Islam,Akbar  Ahmed,Available
,9780241130551,Waiting for Allah Pakistan Struggle for Democracy,Christina Lamb,Available
,9789697576432,Analysing Public Opinion of Pakistan on china Pakistan Economic Corridor,Rida Rizvi,Available
,9789694780016,Comprehensive Pakistan Studies,M Ikram Rabbani,Available
,595001,High Scoring General Science and Ability for CSS,Farooq Mazhar and Aqsa Khalid,Available
,427463,Encyclopedia of General Knowledge for CSS PMS and others,Muhammad Soban,Available
,9789695883419,Everyday Science MCQs All Previous and Expexted Questions,M Imtiaz Shahid,Available
,597425,PMS Solved Papers Compulsory Subject 2005 to Date,Shabbir Hussan Chaudhi,Available
,559430,PMS Guide Converting All Compulsary Papers,Adeel Niaz,Available
,589529,Pakistan Penal Code 1860,Ambrin Tariq Awan,Available
,405935,The Constitution of the Islamic Republic of Pakistan,Zaka Ali,Available
,479035,The Pakistan Penal Code 1860 XLV of 1860 with New Islamic Laws 1979,Eastern Law Book,Available
,533966,International Law,Dr H Q Agarwal,Available
,471640,The Constitution of Great Britain,Mamoon Rashid Pirzada,Available
,479288,The Constitution of the United State of America,Emmanuel Zafar,Available
,578042,English Jurisprudence LLB Part I Paper II,Mirza Sajjad Baig,Available
,594172,The Code of Civil Procedure V of 1908,Atif Sattar Arieen,Available
,548113,The Code of Criminal Procedure V of 1898,Aurangzeb Knakwani,Available
,9780199407828,Constitutional and Political History of Pakistan,Hamid Khan,Available
,550215,Jurisprudence and Legal Theory,Dr V D Mahajan,Available
,562140,A Digest of Muhammad Law 2 Vol Set Compiled,Neil B E Baillie,Available
,562140,A Digest of Muhammad Law 2 Vol Set Compiled,Neil B E Baillie,Available
,476508,A Hand Book for Drawing and Disbursing Officer D.D.Os,M Salem Iqbal Awan,Available
,479202,The Principle of Muhammad Jurisprudence,Sir Abdur Rahman,Available
,585972,The Constitution of the Islamic Republic of Pakistan 1973,Nafeer A Malik,Available
,579193,Assignment on Pakistan Penal Code 1860 and New Islamic Hudood Lawa 1979,Huma Hamid,Available
,590358,Blacks Law Dictionary,Bryan A Garner,Available
,199773,International Law,Ch Moazzam Ali and Faiz,Available
